datetime,open,high,low,close,percent_change
3/7/2025 0:00,62.64,64.18,62.19,63.74,1.756066411
3/6/2025 0:00,63.22,64.02,62.92,63.58,0.569440051
3/5/2025 0:00,63.13,64.18,62.8,64.03,1.425629653
3/4/2025 0:00,63.05,63.91,62.63,63.27,0.348929421
3/3/2025 0:00,64.62,64.87,63.19,63.38,-1.918910554
2/28/2025 0:00,63.41,63.87,62.83,63.82,0.646585712
2/27/2025 0:00,64.57,65.29,63.76,63.89,-1.053120644
2/26/2025 0:00,64.18,64.78,63.94,64.14,-0.062324712
2/25/2025 0:00,63.52,64.45,63.35,64.26,1.164987406
2/24/2025 0:00,63.98,64.08,63.2,63.2,-1.219130978
2/21/2025 0:00,64.53,64.96,63.89,64.03,-0.774833411
2/20/2025 0:00,64.65,64.76,64.28,64.51,-0.216550657
2/19/2025 0:00,64.4,64.96,64.3,64.79,0.605590062
2/18/2025 0:00,65.38,66.25,64.56,64.59,-1.208320587
2/14/2025 0:00,63.68,65.07,63.44,64.83,1.805904523
2/13/2025 0:00,66.27,66.38,62.73,63.82,-3.696997133
2/12/2025 0:00,61.74,62.45,61.34,62.38,1.036605118
2/11/2025 0:00,62.4,62.8,62.2,62.41,0.016025641
2/10/2025 0:00,62.48,62.93,62.37,62.67,0.304097311
2/7/2025 0:00,62.93,63.24,62.36,62.42,-0.810424281
2/6/2025 0:00,62.63,62.69,62.07,62.25,-0.606737985
2/5/2025 0:00,61.39,62.7,61.36,62.54,1.873269262
2/4/2025 0:00,60.84,61.6,60.83,61.35,0.8382643
2/3/2025 0:00,59.88,61.26,59.55,61.08,2.004008016
1/31/2025 0:00,60.85,61.18,60.45,60.51,-0.558751027
1/30/2025 0:00,60.44,61.08,60.25,60.53,0.148908008
1/29/2025 0:00,60.45,60.49,59.57,59.57,-1.455748553
1/28/2025 0:00,59.35,59.5,59.09,59.45,0.168491997
1/27/2025 0:00,60.73,60.73,58.75,58.95,-2.931006093
1/24/2025 0:00,61.95,62.3,61.86,62.17,0.355125101
1/23/2025 0:00,61.66,62.32,61.38,62.22,0.908206293
1/22/2025 0:00,61.3,61.76,61.02,61.63,0.538336052
1/21/2025 0:00,61.24,61.33,60.86,61.05,-0.310254735
1/17/2025 0:00,60.52,60.7,60.26,60.35,-0.280898876
1/16/2025 0:00,59.92,60.45,59.83,59.88,-0.066755674
1/15/2025 0:00,59.78,60.35,59.72,60.06,0.468384075
